Batter,Runs,Matches,Deliveries,Strike_Rate,Avg_Per_Match
MG Bracewell,58,4,49,118.37,14.5
I Sharma,57,21,71,80.28,2.71
Vishnu Vinod,56,6,58,96.55,9.33
WA Mota,56,8,76,73.68,7.0
M Rawat,55,11,70,78.57,5.0
Sandeep Sharma,54,25,73,73.97,2.16
A Chopra,53,6,75,70.67,8.83
DJ Willey,53,5,64,82.81,10.6
Shoaib Malik,52,5,49,106.12,10.4
RP Singh,52,28,78,66.67,1.86
Sameer Rizvi,51,5,43,118.6,10.2
Shivam Mavi,51,11,58,87.93,4.64
KB Arun Karthik,51,8,53,96.23,6.38
Swapnil Singh,51,9,46,110.87,5.67
OF Smith,51,6,50,102.0,8.5
R Rampaul,51,7,52,98.08,7.29
VR Aaron,50,12,73,68.49,4.17
RV Gomez,50,9,53,94.34,5.56
A Nortje,49,13,51,96.08,3.77
SB Bangar,49,7,58,84.48,7.0
AG Paunikar,49,5,61,80.33,9.8
AS Yadav,49,6,40,122.5,8.17
M Markande,48,10,44,109.09,4.8
T Kohler-Cadmore,48,3,54,88.89,16.0
Yashpal Singh,47,4,67,70.15,11.75
DR Sams,44,13,48,91.67,3.38
D Pretorius,44,5,28,157.14,8.8
Sunny Singh,43,5,31,138.71,8.6
PVD Chameera,43,7,32,134.38,6.14
AB Barath,42,3,43,97.67,14.0
Azmatullah Omarzai,42,4,34,123.53,10.5
SK Trivedi,42,14,61,68.85,3.0
Avesh Khan,41,9,25,164.0,4.56
A Nehra,41,17,63,65.08,2.41
Rasikh Salam,40,6,40,100.0,6.67
BR Dunk,40,3,36,111.11,13.33
J Yadav,40,4,38,105.26,10.0
LPC Silva,40,3,27,148.15,13.33
DJ Thornely,39,4,54,72.22,9.75
AUK Pathan,39,7,26,150.0,5.57
MM Patel,39,12,41,95.12,3.25
S Nadeem,39,20,88,44.32,1.95
Umar Gul,39,4,19,205.26,9.75
YS Chahal,37,17,89,41.57,2.18
S Narwal,37,4,29,127.59,9.25
KW Richardson,36,4,39,92.31,9.0
L Balaji,36,13,50,72.0,2.77
AN Ahmed,36,6,27,133.33,6.0
Sohail Tanvir,36,5,31,116.13,7.2
Joginder Sharma,36,5,30,120.0,7.2
Anureet Singh,36,8,47,76.6,4.5
B Sumanth,35,4,38,92.11,8.75
M Ashwin,35,12,50,70.0,2.92
A Kumble,35,15,49,71.43,2.33
S Sreesanth,34,12,57,59.65,2.83
A Mithun,34,6,26,130.77,5.67
AP Dole,34,2,23,147.83,17.0
L Ronchi,34,5,37,91.89,6.8
Imran Tahir,33,8,37,89.19,4.12
SB Dubey,33,3,21,157.14,11.0
Navdeep Saini,33,7,38,86.84,4.71
D Salunkhe,33,3,24,137.5,11.0
RJ Peterson,32,5,32,100.0,6.4
Ravi Bishnoi,32,14,52,61.54,2.29
Basil Thampi,32,7,37,86.49,4.57
AT Carey,32,3,29,110.34,10.67
NS Naik,31,4,53,58.49,7.75
T Taibu,31,3,26,119.23,10.33
S Sriram,31,2,38,81.58,15.5
Arshdeep Singh,29,11,42,69.05,2.64
VH Zol,29,2,26,111.54,14.5
J Syed Mohammad,29,5,27,107.41,5.8
SB Jakati,28,5,30,93.33,5.6
AS Joseph,27,5,32,84.38,5.4
NL McCullum,26,2,23,113.04,13.0
DJ Malan,26,1,26,100.0,26.0
AB Dinda,26,16,50,52.0,1.62
JM Kemp,26,2,25,104.0,13.0
TL Seifert,26,3,26,100.0,8.67
AS Rajpoot,26,7,41,63.41,3.71
MD Shanaka,26,3,26,100.0,8.67
PJ Sangwan,26,14,47,55.32,1.86
AS Roy,26,6,24,108.33,4.33
A Choudhary,25,3,20,125.0,8.33
CV Varun,25,10,49,51.02,2.5
S Chanderpaul,25,3,33,75.76,8.33
Sanvir Singh,25,5,22,113.64,5.0
Mohsin Khan,25,5,27,92.59,5.0
MA Khote,24,3,22,109.09,8.0
Tanush Kotian,24,1,32,75.0,24.0
ER Dwivedi,24,2,15,160.0,12.0
AJ Turner,24,6,31,77.42,4.0
KC Cariappa,24,5,21,114.29,4.8
SW Tait,23,5,26,88.46,4.6
J Arunkumar,23,3,24,95.83,7.67
Umran Malik,23,5,16,143.75,4.6
P Dubey,23,2,33,69.7,11.5
AF Milne,23,6,31,74.19,3.83
BMAJ Mendis,23,3,27,85.19,7.67
KL Nagarkoti,22,7,34,64.71,3.14
SA Abbott,22,3,18,122.22,7.33
HE van der Dussen,22,3,25,88.0,7.33
GB Hogg,22,4,22,100.0,5.5
Yudhvir Singh,22,4,16,137.5,5.5
AU Rashid,22,2,17,129.41,11.0
DE Bollinger,21,4,23,91.3,5.25
B Indrajith,21,3,31,67.74,7.0
TU Deshpande,21,4,15,140.0,5.25
M Muralitharan,20,9,30,66.67,2.22
C Sakariya,20,7,31,64.52,2.86
S Kaul,20,9,36,55.56,2.22
RR Raje,20,5,18,111.11,4.0
NJ Maddinson,20,3,21,95.24,6.67
AC Thomas,20,4,19,105.26,5.0
P Ray Barman,19,1,25,76.0,19.0
P Sahu,19,2,13,146.15,9.5
R Bishnoi,19,3,17,111.76,6.33
NT Ellis,19,5,26,73.08,3.8
Y Gnaneswara Rao,19,1,18,105.56,19.0
Gulbadin Naib,19,1,15,126.67,19.0
Akash Deep,19,3,12,158.33,6.33
JR Hazlewood,19,6,29,65.52,3.17
A Mukund,19,2,23,82.61,9.5
R Shukla,19,4,23,82.61,4.75
DR Martyn,19,1,26,73.08,19.0
