Bowler,Wickets,Runs_Given,Deliveries,Economy,Matches
SMSM Senanayake,9,211,195,6.49,8
AF Milne,9,339,217,9.37,10
KP Pietersen,9,218,180,7.27,13
SB Styris,9,278,222,7.51,11
Rasikh Salam,9,341,207,9.88,11
JEC Franklin,9,225,155,8.71,15
J Yadav,9,447,398,6.74,20
SE Bond,9,225,191,7.07,8
AM Nayar,9,323,239,8.11,19
P Parameswaran,9,226,159,8.53,8
BAW Mendis,9,306,248,7.4,10
Mohammad Asif,9,307,199,9.26,8
KA Jamieson,9,271,179,9.08,9
I Udana,8,286,182,9.43,10
A Mithun,8,477,312,9.17,16
JDS Neesham,8,342,222,9.24,13
S Sandeep Warrier,8,257,176,8.76,10
M Ntini,8,257,213,7.24,9
S Randiv,8,223,180,7.43,8
Akash Deep,8,324,175,11.11,8
N Thushara,8,259,172,9.03,7
MP Yadav,8,88,76,6.95,4
KC Cariappa,8,349,224,9.35,11
GC Viljoen,8,229,146,9.41,6
AA Chavan,8,339,255,7.98,13
Swapnil Singh,7,241,165,8.76,14
TL Suman,7,198,152,7.82,11
Y Venugopal Rao,7,338,222,9.14,20
C de Grandhomme,7,323,230,8.43,19
P Amarnath,7,241,132,10.95,6
OF Smith,7,179,95,11.31,6
B Stanlake,7,200,150,8.0,6
PC Valthaty,7,207,153,8.12,10
KM Asif,7,232,143,9.73,7
N Burger,7,152,105,8.69,5
D Pretorius,7,242,166,8.75,7
R Shukla,7,217,130,10.02,7
RR Raje,7,214,144,8.92,10
HF Gurney,7,239,169,8.49,8
AM Salvi,7,205,156,7.88,7
B Akhil,7,246,193,7.65,13
DJ Willey,7,277,221,7.52,11
KMDN Kulasekara,6,122,107,6.84,5
M de Lange,6,171,116,8.84,5
FH Edwards,6,160,150,6.4,6
JE Taylor,6,167,122,8.21,5
R Sathish,6,233,144,9.71,14
Arshad Khan,6,282,153,11.06,9
RV Gomez,6,130,97,8.04,9
S Kaushik,6,304,210,8.69,10
S Narwal,6,203,113,10.78,6
S Dube,6,190,117,9.74,14
Ramandeep Singh,6,64,45,8.53,4
Jaskaran Singh,6,174,111,9.41,7
MG Bracewell,6,95,66,8.64,5
Fazalhaq Farooqi,6,229,162,8.48,7
VS Malik,6,268,212,7.58,13
V Sehwag,6,236,138,10.26,15
DG Nalkande,6,150,89,10.11,6
S Tyagi,6,304,220,8.29,14
SB Bangar,6,221,153,8.67,9
SS Cottrell,6,177,131,8.11,6
R Shepherd,6,260,133,11.73,8
AS Roy,6,191,142,8.07,9
L Ablish,5,76,45,10.13,3
SB Wagh,5,147,108,8.17,8
AP Dole,5,114,73,9.37,3
V Kohli,5,371,264,8.43,26
Gurkeerat Singh,5,97,82,7.1,6
RJW Topley,5,182,107,10.21,5
Shoaib Akhtar,5,54,46,7.04,3
Akash Singh,5,227,141,9.66,7
S Ladda,5,225,141,9.57,9
PD Collingwood,5,101,90,6.73,6
K Khejroliya,5,221,129,10.28,7
O Thomas,5,85,63,8.1,4
TM Dilshan,5,368,275,8.03,25
R Parag,5,307,181,10.18,21
KL Nagarkoti,5,287,185,9.31,11
HR Shokeen,5,320,213,9.01,13
A Choudhary,5,144,108,8.0,5
Shoaib Ahmed,5,154,103,8.97,7
S Dhawan,4,72,49,8.82,6
Nithish Kumar Reddy,4,208,118,10.58,9
Yudhvir Singh,4,125,74,10.14,5
Ankit Soni,4,145,112,7.77,6
Azmatullah Omarzai,4,194,131,8.89,7
SH Johnson,4,155,99,9.39,5
Shivam Sharma,4,165,114,8.68,5
LE Plunkett,4,228,154,8.88,7
